,tokenId,name,description,url,attributes,recipient,contract
20,2,Boombox BTCPizzaNFT #2,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/2.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3KKBF6BSVPJ8KH55W5R3RWZ6HA7FC5BVV8205A5,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
21,19,Boombox BTCPizzaNFT #19,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/19.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SP1XCTGM847WJQSVPBDM8SD6H7XHFV7E3809ND3NY,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
22,18,Boombox BTCPizzaNFT #18,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/18.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SP12BEEDG31J0AH68DFDJJYZ36D002PKDZCP1DZQE,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
23,17,Boombox BTCPizzaNFT #17,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/17.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3ZTYBN9PYVVFKBEFVSZ2BEGK3HXRNVP6FDG79WV,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
24,16,Boombox BTCPizzaNFT #16,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/16.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP9WEGK17VHB2C1H5V0QZYDHN49E3T31Z0XAMCT5,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
25,15,Boombox BTCPizzaNFT #15,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/15.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP1FS6A7TSXNNAKHZ9A33RBMV3BM629J1BS2SZHED,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
26,14,Boombox BTCPizzaNFT #14,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/14.png,"[{'trait_type': 'background', 'value': 'Background travelster'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SPHK8A7P61C6ASWKYDX1PCDX9YA54DKVJN49EXGJ,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
27,13,Boombox BTCPizzaNFT #13,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/13.png,"[{'trait_type': 'background', 'value': 'Background blue'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3QC4R6M7M0DAZBXSZCW4FWGDCNDD05FV8Y0AY8C,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
28,12,Boombox BTCPizzaNFT #12,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/12.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SPV48Q8E5WP4TCQ63E9TV6KF9R4HP01Z8WS3FBTG,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
29,11,Boombox BTCPizzaNFT #11,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/11.png,"[{'trait_type': 'background', 'value': 'Background bluesky'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP1KWSX2WQP7BMVPAS3ZE1T1K45KGM97WA7SZX356,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
